id_client,age,sexe,revenu_mensuel,profession,nb_enfants,montant_pret_demande,duree_pret_mois,historique_remboursement,zone,statut_defaut
701,37,H,61119,Salarié,2,265893,12,Mauvais,Urbaine,0
702,61,F,149579,Salarié,3,144919,12,Bon,Rurale,0
703,65,F,195420,Retraité,5,157073,3,Moyen,Urbaine,0
704,44,F,82664,Retraité,1,202717,12,Bon,Semi-urbaine,1
705,45,F,101621,Artisan,4,175953,12,Moyen,Semi-urbaine,0
706,22,H,41058,Salarié,6,220906,12,Mauvais,Urbaine,1
707,40,F,150092,Étudiant,4,241062,9,Mauvais,Semi-urbaine,1
708,58,H,105128,Agriculteur,5,242185,9,Bon,Semi-urbaine,0
709,37,F,109590,Artisan,4,31434,12,Bon,Rurale,1
710,18,F,55538,Artisan,5,219914,12,Mauvais,Semi-urbaine,1
711,42,H,111937,Commerçant,0,83555,12,Bon,Rurale,1
712,39,F,121181,Salarié,1,193848,9,Bon,Rurale,1
713,64,F,197016,Salarié,1,246325,12,Bon,Urbaine,0
714,35,F,194104,Agriculteur,6,179232,6,Mauvais,Urbaine,0
715,41,F,194083,Commerçant,5,266596,3,Bon,Rurale,0
716,39,H,57890,Salarié,3,275479,9,Bon,Semi-urbaine,1
717,55,H,53844,Commerçant,1,241468,9,Bon,Semi-urbaine,1
718,36,H,153991,Artisan,1,226030,9,Mauvais,Rurale,0
719,31,H,106399,Artisan,3,207651,12,Moyen,Semi-urbaine,0
720,53,H,73322,Artisan,1,218830,9,Bon,Urbaine,0
721,41,F,104907,Retraité,6,193095,9,Bon,Urbaine,0
722,28,H,145416,Artisan,6,93085,12,Moyen,Semi-urbaine,1
723,23,H,151888,Retraité,5,259030,6,Bon,Semi-urbaine,1
724,46,H,199954,Salarié,5,247124,9,Bon,Rurale,0
725,37,H,60083,Commerçant,0,159119,12,Bon,Semi-urbaine,1
726,59,H,171883,Agriculteur,1,245582,9,Bon,Semi-urbaine,0
727,33,F,132772,Agriculteur,0,221642,6,Bon,Semi-urbaine,0
728,20,H,108372,Salarié,6,173865,6,Moyen,Urbaine,0
729,63,H,100648,Retraité,6,239717,3,Bon,Semi-urbaine,0
730,36,F,50889,Artisan,5,148174,9,Bon,Urbaine,1
731,25,H,117896,Artisan,1,186503,3,Bon,Urbaine,0
732,47,F,66739,Artisan,2,219624,9,Bon,Semi-urbaine,0
733,37,F,144536,Agriculteur,5,123988,12,Bon,Urbaine,1
734,26,F,103777,Salarié,0,196094,3,Bon,Urbaine,0
735,38,H,99852,Étudiant,5,284904,12,Mauvais,Urbaine,0
736,63,H,90742,Étudiant,2,124334,3,Mauvais,Urbaine,0
737,24,H,159802,Commerçant,2,133034,9,Moyen,Semi-urbaine,0
738,33,H,149010,Artisan,1,58133,12,Moyen,Rurale,1
739,44,H,75180,Étudiant,6,118764,9,Mauvais,Urbaine,1
740,41,F,139345,Salarié,1,242384,12,Moyen,Semi-urbaine,1
741,32,F,52489,Commerçant,5,279579,3,Bon,Rurale,1
742,58,F,180611,Étudiant,0,62022,3,Moyen,Urbaine,1
743,65,H,52966,Commerçant,4,129616,3,Bon,Rurale,0
744,56,H,34953,Retraité,1,152598,3,Bon,Semi-urbaine,1
745,65,F,50063,Agriculteur,6,150059,12,Moyen,Urbaine,1
746,51,H,163361,Artisan,1,270013,9,Bon,Urbaine,0
747,50,H,135607,Agriculteur,3,267789,6,Moyen,Rurale,0
748,18,H,170207,Étudiant,2,46229,6,Bon,Urbaine,0
749,63,H,131809,Salarié,1,67546,12,Mauvais,Semi-urbaine,1
750,63,H,153387,Étudiant,3,186821,9,Bon,Semi-urbaine,0
751,62,F,128106,Agriculteur,6,157634,6,Bon,Semi-urbaine,1
752,43,F,84061,Agriculteur,6,51849,9,Moyen,Semi-urbaine,0
753,61,H,106094,Agriculteur,6,285452,6,Moyen,Urbaine,0
754,53,H,126859,Artisan,3,149518,6,Moyen,Semi-urbaine,0
755,57,H,35437,Étudiant,0,240956,6,Bon,Urbaine,1
756,42,H,155176,Commerçant,6,241421,3,Bon,Urbaine,0
757,38,F,44230,Artisan,1,101213,9,Bon,Semi-urbaine,0
758,30,H,51660,Artisan,6,172379,6,Bon,Urbaine,1
759,48,F,173521,Agriculteur,1,235247,3,Bon,Urbaine,0
760,18,H,89425,Salarié,4,117478,3,Bon,Semi-urbaine,0
761,29,H,46247,Commerçant,6,81794,12,Moyen,Urbaine,0
762,38,F,44474,Étudiant,5,292549,12,Moyen,Semi-urbaine,1
763,61,F,199102,Commerçant,5,208579,9,Bon,Urbaine,0
764,20,F,121393,Commerçant,3,213978,6,Bon,Semi-urbaine,1
765,50,H,102141,Retraité,3,271036,6,Bon,Urbaine,0
766,60,H,66589,Commerçant,2,265554,12,Bon,Urbaine,0
767,40,H,41382,Commerçant,2,128299,3,Bon,Rurale,1
768,24,F,100882,Salarié,3,208778,12,Bon,Rurale,0
769,37,F,81568,Commerçant,0,176088,9,Mauvais,Urbaine,1
770,55,F,109650,Artisan,1,42823,6,Mauvais,Semi-urbaine,0
771,43,F,190700,Retraité,2,39859,9,Bon,Rurale,0
772,51,F,187540,Agriculteur,5,295866,6,Bon,Semi-urbaine,0
773,63,H,193129,Salarié,2,158248,12,Bon,Semi-urbaine,1
774,38,F,144209,Artisan,2,152393,3,Mauvais,Urbaine,1
775,47,H,171265,Artisan,4,73662,9,Bon,Urbaine,0
776,53,H,119342,Étudiant,0,110526,9,Bon,Semi-urbaine,0
777,60,H,99333,Commerçant,0,211098,9,Mauvais,Urbaine,1
778,56,H,181393,Artisan,1,271504,12,Bon,Urbaine,1
779,31,H,140805,Retraité,0,78653,9,Bon,Semi-urbaine,0
780,25,H,85665,Commerçant,1,131273,6,Mauvais,Rurale,1
781,51,H,101904,Retraité,1,292335,6,Bon,Urbaine,0
782,57,F,92375,Commerçant,4,211309,3,Moyen,Rurale,0
783,31,H,170029,Retraité,5,275300,9,Moyen,Urbaine,0
784,26,F,163186,Étudiant,1,289816,3,Bon,Rurale,0
785,56,F,96797,Agriculteur,5,31866,12,Bon,Urbaine,0
786,59,H,120302,Étudiant,3,258815,12,Moyen,Urbaine,1
787,21,F,132047,Salarié,2,207857,6,Bon,Urbaine,0
788,23,F,122026,Artisan,0,194468,6,Mauvais,Semi-urbaine,0
789,34,F,72542,Étudiant,0,88160,6,Bon,Rurale,1
790,34,F,74120,Artisan,5,136715,12,Bon,Semi-urbaine,0
791,48,F,189834,Retraité,4,47362,6,Bon,Semi-urbaine,0
792,42,F,134090,Étudiant,4,241425,3,Moyen,Rurale,0
793,34,H,182762,Agriculteur,6,272000,3,Moyen,Rurale,0
794,57,H,171028,Retraité,4,241957,9,Bon,Semi-urbaine,0
795,46,H,134300,Artisan,2,204111,12,Moyen,Semi-urbaine,1
796,47,H,62994,Artisan,3,261599,6,Moyen,Semi-urbaine,0
797,25,F,63602,Étudiant,4,125605,12,Bon,Semi-urbaine,1
798,58,H,41726,Étudiant,4,169785,9,Moyen,Urbaine,1
799,45,H,95820,Artisan,0,277816,12,Moyen,Rurale,1
800,48,F,172777,Salarié,4,49975,3,Bon,Urbaine,0
